"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 14 15:10:19 UTC 2026","Fri Aug 14 15:10:20 UTC 2026","509","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Fri Aug 14 15:09:49 UTC 2026","Fri Aug 14 15:09:49 UTC 2026","521","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Fri Aug 14 15:09:06 UTC 2026","Fri Aug 14 15:09:07 UTC 2026","531","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Fri Aug 14 15:09:49 UTC 2026","Fri Aug 14 15:09:50 UTC 2026","517","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Fri Aug 14 15:11:07 UTC 2026","Fri Aug 14 15:11:07 UTC 2026","525","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Fri Aug 14 15:09:00 UTC 2026","Fri Aug 14 15:09:01 UTC 2026","555","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Fri Aug 14 15:08:57 UTC 2026","Fri Aug 14 15:08:57 UTC 2026","533","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Fri Aug 14 15:11:20 UTC 2026","Fri Aug 14 15:11:21 UTC 2026","529","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Fri Aug 14 15:09:38 UTC 2026","Fri Aug 14 15:09:39 UTC 2026","532","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Fri Aug 14 15:11:15 UTC 2026","Fri Aug 14 15:11:15 UTC 2026","437","","Reactivate User Helper","","","","Reactivate a user",""
"passed","Fri Aug 14 15:08:48 UTC 2026","Fri Aug 14 15:08:48 UTC 2026","554","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Fri Aug 14 15:11:30 UTC 2026","Fri Aug 14 15:11:30 UTC 2026","529","","Reusable Login Helper","","","","Se connecter avec succès",""
