"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 07 15:21:47 UTC 2026","Thu May 07 15:21:50 UTC 2026","2976","","Reusable User Registration Helper","","","","Register a new user and return the created UserResponse",""
"passed","Thu May 07 15:21:59 UTC 2026","Thu May 07 15:21:59 UTC 2026","345","","Reactivate User Helper","","","","Reactivate a user",""
"passed","Thu May 07 15:21:56 UTC 2026","Thu May 07 15:21:56 UTC 2026","385","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:25 UTC 2026","Thu May 07 15:22:12 UTC 2026","47181","","zenity.ofintra.KarateTest","","zenity.ofintra.KarateTest","testAll","testAll()",""
"passed","Thu May 07 15:21:29 UTC 2026","Thu May 07 15:21:30 UTC 2026","424","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:22:01 UTC 2026","Thu May 07 15:22:01 UTC 2026","405","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:22:11 UTC 2026","Thu May 07 15:22:11 UTC 2026","404","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:51 UTC 2026","Thu May 07 15:21:52 UTC 2026","404","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:22:09 UTC 2026","Thu May 07 15:22:10 UTC 2026","409","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:22:02 UTC 2026","Thu May 07 15:22:02 UTC 2026","389","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:36 UTC 2026","Thu May 07 15:21:37 UTC 2026","311","","PAWK-105 — Connexion échouée","","","","PAWK-105 — Connexion échouée - Validation errors",""
"passed","Thu May 07 15:21:39 UTC 2026","Thu May 07 15:21:39 UTC 2026","419","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:55 UTC 2026","Thu May 07 15:21:55 UTC 2026","344","","Reactivate User Helper","","","","Reactivate a user",""
"passed","Thu May 07 15:21:35 UTC 2026","Thu May 07 15:21:36 UTC 2026","323","","PAWK-103 — Connexion avec un compte désactivé ou archivé","","","","PAWK-103 — Connexion avec un compte désactivé ou archivé",""
"passed","Thu May 07 15:21:59 UTC 2026","Thu May 07 15:22:00 UTC 2026","415","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:27 UTC 2026","Thu May 07 15:21:28 UTC 2026","965","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:38 UTC 2026","Thu May 07 15:21:38 UTC 2026","352","","Reusable Logout Helper","","","","Se déconnecter avec succès",""
"passed","Thu May 07 15:21:52 UTC 2026","Thu May 07 15:21:55 UTC 2026","2899","","Reactivate User Helper","","","","Reactivate a user",""
"passed","Thu May 07 15:21:39 UTC 2026","Thu May 07 15:21:43 UTC 2026","3375","","Reusable User Registration Helper","","","","Register a new user and return the created UserResponse",""
"passed","Thu May 07 15:21:32 UTC 2026","Thu May 07 15:21:35 UTC 2026","2887","","Reactivate User Helper","","","","Reactivate a user",""
"passed","Thu May 07 15:21:43 UTC 2026","Thu May 07 15:21:43 UTC 2026","408","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:22:03 UTC 2026","Thu May 07 15:22:03 UTC 2026","413","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:22:04 UTC 2026","Thu May 07 15:22:04 UTC 2026","411","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:36 UTC 2026","Thu May 07 15:21:36 UTC 2026","311","","PAWK-105 — Connexion échouée","","","","PAWK-105 — Connexion échouée - Validation errors",""
"passed","Thu May 07 15:22:05 UTC 2026","Thu May 07 15:22:05 UTC 2026","402","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:56 UTC 2026","Thu May 07 15:21:56 UTC 2026","330","","Reactivate User Helper","","","","Reactivate a user",""
"passed","Thu May 07 15:22:01 UTC 2026","Thu May 07 15:22:02 UTC 2026","421","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:47 UTC 2026","Thu May 07 15:21:47 UTC 2026","421","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:22:05 UTC 2026","Thu May 07 15:22:06 UTC 2026","411","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:43 UTC 2026","Thu May 07 15:21:46 UTC 2026","2354","","Reusable User Registration Helper","","","","Register a new user and return the created UserResponse",""
"passed","Thu May 07 15:21:50 UTC 2026","Thu May 07 15:21:51 UTC 2026","409","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:46 UTC 2026","Thu May 07 15:21:46 UTC 2026","389","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:37 UTC 2026","Thu May 07 15:21:37 UTC 2026","427","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:36 UTC 2026","Thu May 07 15:21:36 UTC 2026","320","","PAWK-105 — Connexion échouée","","","","PAWK-105 — Connexion échouée - Validation errors",""
"passed","Thu May 07 15:21:38 UTC 2026","Thu May 07 15:21:38 UTC 2026","388","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:58 UTC 2026","Thu May 07 15:21:59 UTC 2026","392","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:21:52 UTC 2026","Thu May 07 15:21:52 UTC 2026","322","","Reactivate User Helper","","","","Reactivate a user",""
"passed","Thu May 07 15:22:00 UTC 2026","Thu May 07 15:22:00 UTC 2026","317","","Reactivate User Helper","","","","Reactivate a user",""
"passed","Thu May 07 15:21:37 UTC 2026","Thu May 07 15:21:38 UTC 2026","348","","Reusable Logout Helper","","","","Se déconnecter avec succès",""
"passed","Thu May 07 15:21:56 UTC 2026","Thu May 07 15:21:58 UTC 2026","2086","","Reactivate User Helper","","","","Reactivate a user",""
"passed","Thu May 07 15:21:55 UTC 2026","Thu May 07 15:21:55 UTC 2026","301","","Reactivate User Helper","","","","Reactivate a user",""
"passed","Thu May 07 15:22:07 UTC 2026","Thu May 07 15:22:07 UTC 2026","401","","Reusable Login Helper","","","","Se connecter avec succès",""
"passed","Thu May 07 15:22:10 UTC 2026","Thu May 07 15:22:11 UTC 2026","318","","Reactivate User Helper","","","","Reactivate a user",""
"passed","Thu May 07 15:22:10 UTC 2026","Thu May 07 15:22:10 UTC 2026","380","","Reusable Login Helper","","","","Se connecter avec succès",""
